Guest Name,Gender,Race,Industry,Season,Episode,Number of guests,Episode Length
Tony Yayo,Male,Black,Music,1,1,1,5:20:00
Anthony Rizzo,Male,White,Sports,1,2,1,10:18:00
Machine Gun Kelly,Male,White,Music,1,3,1,15:17:00
Gunplay,Male,Black,Music,1,4,1,14:58:00
Ja Rule,Male,Black,Music,1,5,1,18:29:00
B.o.B,Male,Black,Music,1,6,1,17:36:00
Prince Amunkamara,Male,Black,Sports,1,7,1,17:36:00
DJ Khaled,Male,Black,Music,1,8,1,17:06:00
Chili Klaus,Male,White,Music,1,9,1,12:11:00
Curren$y,Male,Black,Music,2,1,1,19:18:00
Tinashe,Female,Black,Music,2,2,1,15:47:00
Tommy Chong,Male,White,Actor,2,3,1,16:25:00
T.J. Miller,Male,White,Actor,2,4,1,18:03:00
Coolio,Male,Black,Music,2,5,1,16:39:00
Joey Fatone,Male,White,Music,2,6,1,19:33:00
Michael Rapaport,Male,White,Actor,2,7,1,14:59:00
Key,Male,Black,Comedy,2,8,2,14:11:00
Peele,Male,Black,Comedy,2,8,2,14:11:00
Riff Raff,Male,White,Music,2,9,1,15:15:00
Eddie Huang,Male,Asian,Chef,2,10,1,15:36:00
Chris D'Elia,Male,White,Comedy,2,11,1,15:38:00
Mike Epps,Male,Black,Comedy,2,12,1,13:23:00
Jim Gaffigan,Male,White,Comedy,2,13,1,17:10:00
Carly Aquilino,Female,White,Comedy,2,14,1,16:14:00
Redman,Male,Black,Music,2,15,1,17:07:00
Rob Gronkowski,Male,White,Sports,2,16,1,10:55:00
Rob Corddry,Male,White,Actor,2,17,1,16:26:00
Jeff Ross,Male,White,Comedy,2,18,1,15:43:00
David Cross,Male,White,Actor,2,19,1,18:07:00
Eric Andre,Male,Black,Comedy,2,20,1,19:05:00
Joe Budden,Male,Black,Music,2,21,1,24:17:00
Matty Matheson,Male,White,Chef,2,22,1,21:19:00
RZA,Male,Black,Music,2,23,2,15:50:00
Paul Banks,Male,White,Music,2,23,2,15:50:00
Bert Kreischer,Male,White,Comedy,2,24,1,25:34:00
YG,Male,Black,Music,2,25,1,20:12:00
Jay Pharoah,Male,Black,Comedy,2,26,1,23:16:00
Chili Klaus,Male,White,Music,2,27,1,8:06
Harley Morenstein,Male,White,Actor,2,28,1,20:08:00
Travis Kelce,Male,White,Sports,2,29,1,16:56:00
Hasan Minhaj,Male,Asian/Indian Asian,Comedy,2,30,1,19:54:00
Kevin Hart,Male,Black,Comedy,2,31,1,22:38:00
Emily Oberg,Female,Asian,Actor,2,32,2,4:49:00
Nadeska Alexis,Female,Black,Actor,2,32,2,4:49:00
Martin Garrix,Male,White,Music,2,33,1,17:54:00
Bobby Lee,Male,Asian,Actor,2,34,1,18:14:00
Tony Hawk,Male,White,Sports,2,36,1,31:34:00
Action Bronson,Male,White,Music,2,38,1,21:24:00
T-Pain,Male,Black,Music,2,39,1,21:07:00
Rachel Ray,Female,White,Chef,2,40,1,17:11:00
Tom Colicchio,Male,White,Chef,2,41,1,17:53:00
Post Malone,Male,White,Music,2,42,1,19:17:00
N.O.R.E.,Male,Black,Music,2,43,1,22:17:00
James Franco,Male,White,Actor,2,44,2,15:22:00
Bryan Cranston,Male,White,Actor,2,44,2,15:22:00
Rhett,Male,White,YouTube,2,47,2,17:04:00
Link,Male,White,YouTube,2,47,2,17:04:00
Padma Lakshmi,Female,Asian/Indian Asian,Chef,3,1,1,17:23:00
"Joey ""CoCo"" Diaz",Male,Hispanic,Comedy,3,2,1,19:22:00
Danny Brown,Male,Black,Music,3,3,1,19:40:00
Ricky Gervais,Male,White,Comedy,3,4,1,22:10:00
Charlie Day,Male,White,Actor,3,5,1,17:49:00
Mac DeMarco,Male,White,Music,3,6,1,19:34:00
